500.0 536.599673739
536.599673739 575.878419714
575.878419714 618.032344264
618.032344264 663.271908584
663.271908584 711.822979493
711.822979493 763.927957112
763.927957112 819.846985093
819.846985093 879.859249433
879.859249433 944.264372364
944.264372364 1013.38390827
1013.38390827 1087.5629491
1087.5629491 1167.17184731
1167.17184731 1252.60806493
1252.60806493 1344.29815793
1344.29815793 1442.69990591
1442.69990591 1548.30459763
1548.30459763 1661.63948387
1661.63948387 1783.27040983
1783.27040983 1913.80464021
1913.80464021 2053.89389107
2053.89389107 2204.23758369
2204.23758369 2365.5863365
2365.5863365 2538.74571274
2538.74571274 2724.58024232
2724.58024232 2924.01773821
2924.01773821 3138.05392866
3138.05392866 3367.75742859
3367.75742859 3614.27507483
3614.27507483 3878.83765192
3878.83765192 4162.76603701
4162.76603701 4467.47779462
4467.47779462 4794.49425406
4794.49425406 5145.44810495
5145.44810495 5522.09154871
5522.09154871 5926.30504679
5926.30504679 6360.10670917
6360.10670917 6825.66237018
6825.66237018 7325.29640178
7325.29640178 7861.50331847
7861.50331847 8436.96023158
8436.96023158 9054.54021523
9054.54021523 9717.3266507
9717.3266507 10428.6286208
10428.6286208 11191.9974309
11191.9974309 12011.2443398
12011.2443398 12890.4595879
12890.4595879 13834.0328184
13834.0328184 14846.6749937
14846.6749937 15933.4419155
15933.4419155 17099.7594668
17099.7594668 18351.4507018
18351.4507018 19694.7649184
19694.7649184 21136.4088592
21136.4088592 22683.5801957
22683.5801957 24344.0034645
24344.0034645 26125.9686331
26125.9686331 28038.3724893
28038.3724893 30090.7630598
30090.7630598 32293.3872809
32293.3872809 34657.2421578
34657.2421578 37194.1296691
37194.1296691 39916.7156909
39916.7156909 42838.5932329
42838.5932329 45974.3503045
45974.3503045 49339.6427475
49339.6427475 52951.2724014
52951.2724014 56827.2709893
56827.2709893 60986.9901447
60986.9901447 65451.1980279
65451.1980279 70242.1830153
70242.1830153 75383.8649774
75383.8649774 80901.9147041
80901.9147041 86823.8820702
86823.8820702 93179.3335833
93179.3335833 100000.0
